epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.1209,0.70188,0.59671,1,0.70555,0.000237316,0.000237316,0.000237316
2,32.703,0.68019,0.59418,1,0.67848,0.00047061,0.00047061,0.00047061
3,46.34,0.67054,0.59418,1,0.67754,0.000699192,0.000699192,0.000699192
4,59.7435,0.67278,0.59039,1,0.67746,0.000692794,0.000692794,0.000692794
5,73.1433,0.66262,0.59418,1,0.67867,0.000685726,0.000685726,0.000685726
6,86.6049,0.66581,0.59418,1,0.67988,0.000678657,0.000678657,0.000678657
7,100.146,0.66487,0.5689,1,nan,0.000671588,0.000671588,0.000671588
8,113.566,0.67108,0.59166,1,0.67725,0.00066452,0.00066452,0.00066452
9,126.759,0.6663,0.5866,1,0.67965,0.000657451,0.000657451,0.000657451
10,140.27,0.67225,0.59418,1,0.67744,0.000650383,0.000650383,0.000650383
11,153.697,0.66438,0.59418,1,0.67795,0.000643314,0.000643314,0.000643314
12,167.057,0.66643,0.59418,1,0.67889,0.000636245,0.000636245,0.000636245
13,180.38,0.66761,0.59418,1,0.67709,0.000629177,0.000629177,0.000629177
14,193.669,0.66785,0.59418,1,0.67689,0.000622108,0.000622108,0.000622108
15,207.591,0.66299,0.59798,1,0.67652,0.00061504,0.00061504,0.00061504
16,222.418,0.66179,0.59418,1,0.6774,0.000607971,0.000607971,0.000607971
17,235.991,0.66419,0.59292,1,0.67768,0.000600902,0.000600902,0.000600902
18,249.281,0.66725,0.59418,1,0.67699,0.000593834,0.000593834,0.000593834
19,263.476,0.6666,0.59418,1,0.67656,0.000586765,0.000586765,0.000586765
20,277.199,0.6662,0.59418,1,0.67771,0.000579697,0.000579697,0.000579697
